                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.5955,                0.99892,                 1.4495,                 1.6938,                 1.1239,                 1.3854,                0.76218,                0.77778,                0.82557,                0.48921,                 1.3412,                0.89085,                 1.3131,                 1.3702,                 0.9498,                 1.2636,               0.001835,               0.001835,               0.001835
                     53,                 1.4919,                0.98984,                 1.4411,                 1.5733,                 1.1129,                 1.3823,                0.76397,                0.81277,                0.86042,                0.52248,                  1.261,                0.83516,                 1.2848,                 1.3566,                 0.8304,                 1.2653,              0.0018317,              0.0018317,              0.0018317
                     54,                 1.4996,                0.93011,                 1.4307,                 1.6235,                 1.0102,                 1.3688,                0.74962,                0.81102,                0.84747,                0.51657,                 1.3078,                0.81595,                 1.2806,                  1.376,                0.81591,                 1.2655,              0.0018284,              0.0018284,              0.0018284
                     55,                 1.4379,                0.91753,                  1.423,                 1.5707,                 1.0195,                 1.3777,                0.72232,                0.81246,                0.82672,                0.51151,                 1.2661,                0.78916,                 1.2763,                 1.3469,                0.81386,                 1.2518,              0.0018251,              0.0018251,              0.0018251
                     56,                 1.5247,                0.95264,                 1.4258,                  1.674,                 1.0501,                 1.3696,                0.81278,                 0.8084,                0.86715,                0.52557,                 1.2472,                0.81242,                 1.2604,                 1.3528,                0.83578,                 1.2587,              0.0018218,              0.0018218,              0.0018218
                     57,                 1.4749,                0.94093,                 1.4124,                 1.6013,                 1.0336,                 1.3871,                0.80121,                0.79341,                0.85954,                0.55196,                 1.2154,                0.81709,                 1.2514,                 1.2786,                0.83584,                 1.2245,              0.0018185,              0.0018185,              0.0018185
                     58,                 1.4384,                0.91938,                  1.363,                 1.5309,                0.98736,                  1.317,                0.77671,                0.81627,                0.86218,                0.54298,                 1.2619,                0.78712,                 1.2529,                 1.3098,                0.77607,                 1.2294,              0.0018152,              0.0018152,              0.0018152
                     59,                  1.486,                0.92241,                 1.3786,                 1.6231,                0.99697,                 1.3495,                0.75521,                0.83027,                0.86947,                0.55209,                 1.2679,                0.82826,                 1.2405,                 1.2875,                0.81662,                 1.2066,              0.0018119,              0.0018119,              0.0018119
                     60,                 1.4369,                0.89233,                 1.3383,                 1.5758,                0.94717,                 1.2898,                0.78744,                 0.7944,                0.87007,                0.55924,                 1.1826,                 0.7955,                 1.2212,                 1.2728,                0.75206,                  1.214,              0.0018086,              0.0018086,              0.0018086
                     61,                 1.4625,                 0.9505,                 1.4392,                 1.6021,                 0.9874,                 1.3958,                0.75372,                0.82415,                0.85876,                0.53384,                 1.3019,                0.91665,                 1.2942,                 1.3791,                0.79548,                 1.2675,              0.0018053,              0.0018053,              0.0018053
