                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.91868,                 0.6368,                0.98461,                0.88994,                 0.9524,                0.96207,                0.73285,                 1.0502,                0.78851,                  1.243,              0.0096172,              0.0096172,              0.0096172
                     60,                0.91091,                0.63243,                0.98391,                0.90959,                0.95272,                0.96363,                0.74197,                 1.0179,                0.73828,                 1.2508,              0.0096106,              0.0096106,              0.0096106
                     61,                0.92915,                0.62906,                0.97686,                0.89683,                0.92636,                0.95359,                0.74147,                 1.0535,                 0.8723,                 1.2896,               0.009604,               0.009604,               0.009604
                     62,                0.90503,                0.63001,                0.98392,                0.89364,                0.94311,                0.95941,                0.73573,                 1.0184,                0.82647,                 1.2591,              0.0095974,              0.0095974,              0.0095974
                     63,                0.90084,                0.63856,                0.98062,                0.86664,                0.92949,                0.93616,                0.71861,                 1.1005,                 1.0535,                 1.3447,              0.0095908,              0.0095908,              0.0095908
                     64,                0.90053,                0.60794,                0.97092,                0.89973,                0.94905,                0.95701,                0.73644,                 1.0315,                0.85829,                 1.2413,              0.0095842,              0.0095842,              0.0095842
                     65,                0.88888,                0.62011,                0.98021,                0.91839,                0.94684,                0.96583,                0.72978,                 1.0185,                0.73114,                  1.237,              0.0095776,              0.0095776,              0.0095776
                     66,                0.88539,                0.61619,                0.97247,                 0.8715,                0.92929,                 0.9529,                0.73801,                  1.028,                0.91334,                 1.2561,               0.009571,               0.009571,               0.009571
                     67,                0.86352,                0.59178,                0.96384,                0.94577,                0.95021,                0.96946,                0.76344,                 1.0661,                0.78817,                 1.3256,              0.0095644,              0.0095644,              0.0095644
                     68,                0.86841,                0.60466,                0.97531,                0.94127,                0.96715,                0.97347,                0.76373,                0.96312,                0.72893,                 1.2084,              0.0095578,              0.0095578,              0.0095578
                     69,                0.84596,                0.58661,                0.96151,                0.95159,                0.95994,                0.98112,                0.77152,                0.95422,                0.71275,                 1.1871,              0.0095512,              0.0095512,              0.0095512
                     70,                0.88627,                0.59979,                0.97963,                0.93007,                0.95913,                0.96238,                0.77024,                 0.9504,                0.74715,                  1.186,              0.0095446,              0.0095446,              0.0095446
                     71,                0.86071,                 0.6043,                0.97446,                0.95119,                0.95256,                0.96862,                0.75578,                 1.0341,                0.67773,                 1.2539,               0.009538,               0.009538,               0.009538
                     72,                 0.8382,                0.58444,                0.95699,                0.93571,                0.95112,                 0.9718,                 0.7665,                0.98172,                0.72081,                 1.2244,              0.0095314,              0.0095314,              0.0095314
                     73,                0.84422,                0.59738,                0.96517,                0.92086,                 0.9417,                 0.9658,                0.74922,                 1.0324,                0.73727,                 1.2887,              0.0095248,              0.0095248,              0.0095248
                     74,                0.85344,                0.58542,                0.96528,                0.93917,                0.96496,                0.97626,                 0.7675,                0.96555,                0.66924,                 1.2162,              0.0095182,              0.0095182,              0.0095182
                     75,                0.84103,                0.57879,                0.94947,                0.93711,                0.96635,                0.98048,                0.77973,                0.99382,                0.66642,                 1.2585,              0.0095116,              0.0095116,              0.0095116
                     76,                0.84088,                0.58089,                0.95634,                0.93686,                0.96474,                0.97296,                0.77905,                 0.9519,                0.71096,                 1.2057,               0.009505,               0.009505,               0.009505
                     77,                0.83486,                0.58317,                0.95815,                0.92751,                0.96376,                 0.9732,                0.76885,                 1.0132,                0.74005,                 1.2473,              0.0094984,              0.0094984,              0.0094984
                     78,                0.81419,                0.55761,                0.94701,                0.93357,                0.96795,                0.96659,                0.77634,                 0.9542,                0.69832,                 1.2036,              0.0094918,              0.0094918,              0.0094918
                     79,                 0.8232,                0.56116,                0.94347,                0.90186,                0.94987,                0.96927,                0.75769,                 1.0149,                0.71291,                 1.2487,              0.0094852,              0.0094852,              0.0094852
                     80,                0.81625,                0.56184,                0.94943,                0.90815,                0.95593,                0.97501,                0.77718,                0.92514,                0.69975,                 1.1704,              0.0094786,              0.0094786,              0.0094786
                     81,                0.81304,                0.56174,                0.94442,                0.89696,                0.90676,                0.95457,                 0.7514,                 0.9873,                0.81024,                 1.2169,               0.009472,               0.009472,               0.009472
                     82,                0.79763,                0.55803,                0.95796,                0.96757,                0.96795,                0.98512,                0.78474,                0.88406,                0.60261,                 1.1452,              0.0094654,              0.0094654,              0.0094654
                     83,                0.79317,                0.54451,                 0.9326,                0.93481,                0.95367,                0.97719,                0.76543,                 0.9919,                0.73426,                 1.2188,              0.0094588,              0.0094588,              0.0094588
                     84,                0.79718,                0.55169,                0.94087,                0.92653,                0.96004,                0.97571,                0.78442,                0.89712,                0.73093,                 1.1498,              0.0094522,              0.0094522,              0.0094522
                     85,                0.80809,                0.55542,                0.94167,                0.93754,                0.96217,                0.97103,                0.78731,                0.88587,                0.64721,                 1.1381,              0.0094456,              0.0094456,              0.0094456
                     86,                0.77668,                0.54531,                0.93476,                0.91653,                0.95906,                  0.965,                0.76544,                0.96467,                0.81494,                 1.2137,               0.009439,               0.009439,               0.009439
                     87,                0.75048,                0.53253,                0.92826,                0.94526,                0.95482,                0.97384,                0.78065,                0.95368,                0.65808,                  1.203,              0.0094324,              0.0094324,              0.0094324
                     88,                0.78494,                0.53792,                0.92621,                0.93374,                0.95753,                 0.9743,                 0.7721,                0.92559,                0.67975,                 1.1704,              0.0094258,              0.0094258,              0.0094258
                     89,                0.79556,                0.54123,                 0.9367,                0.89913,                0.96419,                0.96476,                0.78607,                0.86488,                0.79704,                 1.1265,              0.0094192,              0.0094192,              0.0094192
                     90,                0.76214,                 0.5266,                0.92719,                0.93806,                0.95833,                0.97838,                0.79613,                0.84244,                0.63019,                 1.1206,              0.0094126,              0.0094126,              0.0094126
                     91,                0.75664,                0.52642,                0.92838,                0.95413,                0.97035,                0.98141,                0.79228,                0.86941,                0.61545,                 1.1503,               0.009406,               0.009406,               0.009406
