                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.68273,                0.41584,                0.82228,                0.98788,                      1,                0.99362,                0.88199,                0.53151,                0.37252,                0.81584,              0.0015545,              0.0015545,              0.0015545
                     92,                0.61356,                0.39618,                 0.8355,                0.98747,                      1,                0.99309,                0.87452,                0.54895,                0.36702,                0.81345,              0.0015496,              0.0015496,              0.0015496
                     93,                  0.621,                0.39276,                0.83823,                0.98747,                      1,                0.99309,                0.87452,                0.54895,                0.36702,                0.81345,              0.0015446,              0.0015446,              0.0015446
                     94,                0.61572,                0.40261,                0.83705,                0.98849,                      1,                0.99415,                0.89131,                0.52456,                0.35918,                0.81232,              0.0015397,              0.0015397,              0.0015397
                     95,                0.65809,                0.43384,                0.84168,                0.98849,                      1,                0.99415,                0.89131,                0.52456,                0.35918,                0.81232,              0.0015347,              0.0015347,              0.0015347
                     96,                0.63083,                0.41369,                0.83917,                      1,                0.99975,                  0.995,                0.89396,                0.51423,                0.35627,                0.81236,              0.0015298,              0.0015298,              0.0015298
                     97,                 0.6097,                0.39017,                0.81963,                      1,                0.99975,                  0.995,                0.89396,                0.51423,                0.35627,                0.81236,              0.0015248,              0.0015248,              0.0015248
                     98,                0.62048,                 0.4076,                0.82439,                      1,                0.99931,                  0.995,                0.89068,                0.51586,                0.36486,                  0.816,              0.0015199,              0.0015199,              0.0015199
                     99,                0.60466,                0.40152,                0.81388,                      1,                0.99931,                  0.995,                0.89068,                0.51586,                0.36486,                  0.816,              0.0015149,              0.0015149,              0.0015149
                    100,                0.67492,                0.44321,                0.83132,                      1,                0.99927,                  0.995,                0.89152,                0.51336,                0.36443,                0.81548,              0.0015099,              0.0015099,              0.0015099
                    101,                0.60392,                0.39411,                0.84289,                      1,                0.99927,                  0.995,                0.89152,                0.51336,                0.36443,                0.81548,               0.001505,               0.001505,               0.001505
                    102,                0.63031,                0.40966,                0.80889,                      1,                0.99938,                  0.995,                0.89949,                0.49627,                0.35641,                 0.8131,              0.0015001,              0.0015001,              0.0015001
