                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.58918,                0.37614,                0.86176,                0.99008,                  0.986,                0.99371,                0.89726,                0.51167,                 0.3221,                  0.813,              0.0017525,              0.0017525,              0.0017525
                     52,                0.59562,                0.37946,                0.84986,                 0.9864,                0.98775,                0.99315,                0.89702,                0.52028,                0.32586,                0.81264,              0.0017476,              0.0017476,              0.0017476
                     53,                0.57528,                0.36972,                0.86205,                0.99521,                0.98775,                0.99434,                 0.9067,                0.49628,                0.30718,                0.80725,              0.0017426,              0.0017426,              0.0017426
                     54,                0.57866,                0.37472,                0.86025,                0.99478,                0.98513,                 0.9942,                0.89834,                0.51132,                0.31632,                 0.8113,              0.0017376,              0.0017376,              0.0017376
                     55,                0.61706,                0.39446,                0.86589,                0.99471,                0.98737,                 0.9941,                0.89439,                0.50199,                 0.3156,                0.80836,              0.0017327,              0.0017327,              0.0017327
                     56,                0.58881,                0.37173,                0.86583,                0.99122,                0.98758,                0.99406,                0.90326,                0.51163,                  0.318,                0.81157,              0.0017278,              0.0017278,              0.0017278
                     57,                0.61217,                0.39682,                0.87275,                0.99367,                0.98775,                0.99443,                0.90925,                0.51108,                0.32002,                0.80907,              0.0017228,              0.0017228,              0.0017228
                     58,                0.61696,                0.40795,                0.87865,                0.99561,                0.99194,                0.99486,                0.89174,                0.50715,                0.32179,                0.81071,              0.0017179,              0.0017179,              0.0017179
                     59,                0.60514,                0.38356,                0.87851,                0.98599,                0.98496,                0.99421,                0.88738,                0.53183,                0.32877,                0.81415,              0.0017129,              0.0017129,              0.0017129
                     60,                0.59849,                0.38037,                0.85121,                0.98259,                0.98741,                0.99403,                0.88803,                 0.5261,                0.33773,                 0.8139,               0.001708,               0.001708,               0.001708
                     61,                0.57402,                 0.3744,                0.86279,                0.99029,                0.99038,                0.99465,                0.90066,                0.51677,                0.32497,                0.81118,               0.001703,               0.001703,               0.001703
                     62,                0.59591,                0.38047,                0.86168,                0.99011,                  0.993,                0.99467,                0.90202,                0.51017,                0.31855,                0.81021,               0.001698,               0.001698,               0.001698
                     63,                0.59481,                0.38083,                0.86408,                0.99036,                0.98821,                0.99472,                 0.9032,                 0.4998,                0.31989,                0.80939,              0.0016931,              0.0016931,              0.0016931
                     64,                0.58932,                0.37607,                0.86275,                0.99248,                  0.986,                0.99441,                0.89975,                0.48583,                0.31207,                0.80518,              0.0016882,              0.0016882,              0.0016882
                     65,                0.57263,                0.37655,                0.86572,                 0.9944,                0.98688,                0.99476,                0.91043,                0.48023,                0.31064,                0.80425,              0.0016832,              0.0016832,              0.0016832
                     66,                0.57324,                0.36288,                0.87265,                0.99435,                0.98775,                0.99454,                0.91057,                0.49001,                0.30348,                0.80492,              0.0016783,              0.0016783,              0.0016783
                     67,                0.58459,                0.38008,                0.85983,                0.99471,                0.98723,                0.99479,                0.91016,                0.48119,                0.30994,                0.80522,              0.0016733,              0.0016733,              0.0016733
                     68,                0.57872,                0.36833,                0.86248,                0.99468,                0.98688,                0.99482,                0.91354,                0.47245,                0.30163,                0.80221,              0.0016684,              0.0016684,              0.0016684
